"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","Number of Patients 1","Footnote 1","Surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)","Number of Patients 2","Footnote 2","Surgery patients who were given the right kind of antibiotic to help prevent infection","Number of Patients 3","Footnote 3","Patients who got treatment at the right time (within 24 hours before or after their surgery) to help prevent blood clots","Number of Patients 4","Footnote 4","Surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries","Number of Patients 5","Footnote 5","Heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery","Number of Patients 6","Footnote 6","The percent of surgery patients whose urinary catheters were removed on the first or second day after surgery","Number of Patients 11","Footnote 11","Surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on them","Number of Patients 8","Footnote 8","Outpatients having surgery who got an antibiotic at the right time - within one hour before surgery (higher numbers are better)","Number of Patients 9","Footnote 9","Outpatients having surgery who got the right kind of antibiotic (higher numbers are better)","Number of Patients 10","Footnote 10","Patients having surgery who were actively warmed in the operating room or whose body temperature was near normal","Number of Patients 13","Footnote 13"
"250057","KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN","P O BOX 948/427 HIGHWAY 51 NORTH","","","BROOKHAVEN","MS","39601","LINCOLN","6018336011","83","42","","90","42","","88","43","","99","125","","99","125","","Not Available","0","","82","17","The number of cases is too small to reliably tell how well a hospital is performing","79","24","The number of cases is too small to reliably tell how well a hospital is performing","90","144","","87","141","","100","137",""
"250058","SOUTH CENTRAL REG MED CTR","1220 JEFFERSON ST BOX 607","","","LAUREL","MS","39440","JONES","6016494000","99","338","","94","328","","96","337","","94","428","","96","428","","Not Available","0","","91","272","","87","115","","77","65","","96","56","","99","462",""
"250059","MONTFORT JONES MEMORIAL HOSPITAL","220 HWY 12 WEST","","","KOSCIUSKO","MS","39090","ATTALA","6622894311","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure"
"250060","JEFFERSON COUNTY HOSPITAL","809 S MAIN BOX 577","","","FAYETTE","MS","39069","JEFFERSON","6017863401","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"250061","YALOBUSHA GENERAL HOSPITAL","630 SOUTH MAIN STREET","","","WATER VALLEY","MS","38965","YALOBUSHA","6624731411","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"250067","CLAY COUNTY MEDICAL CENTER","835 MEDICAL CENTER DR","","","WEST POINT","MS","39773","CLAY","6624952300","100","52","","96","47","","94","54","","97","76","","96","78","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","90","80","","96","72","","100","83",""
"250069","RUSH FOUNDATION HOSPITAL","1314 19TH AVE","","","MERIDIAN","MS","39301","LAUDERDALE","6014830011","99","331","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","305","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","330","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","384","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","388","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","51","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","337","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","118","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","460","","100","457","","100","490","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"250072","CENTRAL MISSISSIPPI MEDICAL CENTER","1850 CHADWICK DR","","","JACKSON","MS","39204","HINDS","6013761000","99","172","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","167","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","174","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","220","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","220","The hospital indicated that the data submitted for this measure were based on a sample of cases","88","32","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","109","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","59","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","248","","99","248","","100","245","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"250077","WAYNE GENERAL HOSPITAL","950 MATTHEW DR","","","WAYNESBORO","MS","39367","WAYNE","6017355151","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","0","18","The number of cases is too small to reliably tell how well a hospital is performing","0","18","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","91","22","The number of cases is too small to reliably tell how well a hospital is performing"
"250078","FORREST GENERAL HOSPITAL","6051 US HIGHWAY 49","","","HATTIESBURG","MS","39404","FORREST","6012887000","99","466","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","443","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","481","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","388","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","388","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","188","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","476","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","275","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","524","","96","519","","100","498","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"250079","SHARKEY ISSAQUENA COMMUNITY HOSPITAL","47 SOUTH 4 ST","","","ROLLING FORK","MS","39159","SHARKEY","6628734395","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"250081","ANDERSON REGIONAL MEDICAL CENTER SOUTH CAMPUS","1102 CONSTITUTION AVENUE","","","MERIDIAN","MS","39301","LAUDERDALE","6014843590","100","17","The number of cases is too small to reliably tell how well a hospital is performing","100","17","The number of cases is too small to reliably tell how well a hospital is performing","89","18","The number of cases is too small to reliably tell how well a hospital is performing","95","19","The number of cases is too small to reliably tell how well a hospital is performing","95","19","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","89","28","","93","28","","100","25",""
"250082","DELTA REGIONAL MEDICAL CENTER","1400 E UNION ST","","","GREENVILLE","MS","38704","WASHINGTON","6623783783","97","319","","95","307","","99","320","","96","370","","96","377","","98","47","","82","171","","74","94","","79","121","","97","105","","99","449",""
"250084","NATCHEZ REGIONAL MEDICAL CENTER","52 SEARGENT PRENTISS DRIVE","","","NATCHEZ","MS","39120","ADAMS","6014432100","94","143","","93","137","","100","141","","90","169","","94","171","","Not Available","0","","61","61","","87","61","","65","23","The number of cases is too small to reliably tell how well a hospital is performing","94","17","The number of cases is too small to reliably tell how well a hospital is performing","99","198",""
"250085","MARION GENERAL HOSPITAL","1560 SUMRALL RD","","","COLUMBIA","MS","39429","MARION","6017366303","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"250093","BOLIVAR MEDICAL CENTER","HWY 8 E","","","CLEVELAND","MS","38732","BOLIVAR","6628462551","100","63","","100","59","","100","63","","100","127","","100","127","","Not Available","0","","100","64","","100","23","The number of cases is too small to reliably tell how well a hospital is performing","98","60","","98","59","","100","137",""
"250094","WESLEY MEDICAL CENTER","5001 W HARDY ST","","","HATTIESBURG","MS","39402","FORREST","6012688000","99","606","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","498","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","612","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","708","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","708","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","134","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","318","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","320","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","371","","99","370","","100","783","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"250095","SOUTH SUNFLOWER COUNTY HOSPITAL","121 E BAKER ST","","","INDIANOLA","MS","38751","SUNFLOWER","6628875235","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure"
"250096","CROSSGATES RIVER OAKS HOSPITAL","350 CROSSGATES BLVD","","","BRANDON","MS","39042","RANKIN","6018252811","98","54","","98","47","","98","55","","98","111","","98","111","","Not Available","0","","95","82","","98","40","","100","13","The number of cases is too small to reliably tell how well a hospital is performing","92","13","The number of cases is too small to reliably tell how well a hospital is performing","100","130",""
"250097","SOUTHWEST MS REGIONAL MEDICAL CENTER","215 MARION AV BOX 1307","","","MCCOMB","MS","39649","PIKE","6012495500","98","256","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","253","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","261","The hospital indicated that the data submitted for this measure were based on a sample of cases","82","266","The hospital indicated that the data submitted for this measure were based on a sample of cases","86","266","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","46","The hospital indicated that the data submitted for this measure were based on a sample of cases","83","146","The hospital indicated that the data submitted for this measure were based on a sample of cases","62","128","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","159","","94","156","","98","340","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"250099","GREENWOOD LEFLORE HOSPITAL","1401 RIVER RD / PO BOX 1410","","","GREENWOOD","MS","38930","LEFLORE","6624597000","97","266","","86","259","","97","268","","96","339","","97","339","","Not Available","0","","91","180","","96","79","","97","138","","92","163","","100","385",""
"250100","BAPTIST MEM HOSP/GOLDEN TRIANGLE INC","2520 5TH ST N","","","COLUMBUS","MS","39701","LOWNDES","6622441500","100","455","","100","451","","100","455","","99","561","","99","561","","100","29","","99","136","","100","167","","99","198","","99","198","","100","631",""
"250102","MISSISSIPPI BAPTIST MEDICAL CENTER","1225 N STATE ST","","","JACKSON","MS","39202","HINDS","6019681000","98","890","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","854","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","905","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","915","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","915","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","174","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","737","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","394","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","845","","95","838","","99","1114","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"250104","ANDERSON REGIONAL MEDICAL CENTER","2124 14 ST","","","MERIDIAN","MS","39301","LAUDERDALE","6015536000","99","403","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","402","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","411","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","425","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","427","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","119","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","229","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","183","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","379","","96","378","","100","479","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"250117","HIGHLAND COMMUNITY  HOSPITAL","130 HIGHLAND PKWY","","","PICAYUNE","MS","39466","PEARL RIVER","6013589400","97","39","","100","36","","87","39","","100","48","","100","48","","Not Available","0","","100","17","The number of cases is too small to reliably tell how well a hospital is performing","100","14","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","100","58",""
"250122","NATCHEZ COMMUNITY HOSPITAL/SWING BED","129 JEFFERSON DAVIS BLVD BOX 1203","","","NATCHEZ","MS","39120","ADAMS","6014456205","99","72","","97","70","","99","74","","95","98","","97","99","","Not Available","0","","98","52","","88","24","The number of cases is too small to reliably tell how well a hospital is performing","99","111","","100","110","","100","112",""
"250123","GARDEN PARK MEDICAL CENTER","15200 COMMUNITY ROAD","","","GULFPORT","MS","39501","HARRISON","6018644210","100","219","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","214","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","222","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","340","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","340","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","269","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","72","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","145","","99","145","","100","374","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"250124","MAGEE GENERAL HOSPITAL","300 3RD AVE SE","","","MAGEE","MS","39111","SIMPSON","6018495070","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","95","73","","93","71","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"250126","NORTH OAK REGIONAL MEDICAL CENTER","401 GETWELL DR","","","SENATOBIA","MS","38668","TATE","6625623100","92","40","","95","40","","98","40","","92","50","","92","50","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","100","51",""
"250128","TRI LAKES MEDICAL CENTER","303 MEDICAL CENTER DRIVE","","","BATESVILLE","MS","38606","PANOLA","6625635611","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","57","14","The number of cases is too small to reliably tell how well a hospital is performing","44","18","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","18","The number of cases is too small to reliably tell how well a hospital is performing"
"250134","WHITFIELD MEDICAL SURGICAL HOSPITAL","3550 HWY 468 W, BLDG 60","","","WHITFIELD","MS","39193","RANKIN","6013518400","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"250136","WOMAN'S HOSPITAL AT RIVER OAKS","1026 NORTH FLOWOOD DRIVE","","","JACKSON","MS","39232","HINDS","6019361000","100","52","","96","50","","100","52","","100","61","","100","61","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","99","553","","100","552","","100","63",""
"250141","BAPTIST MEMORIAL HOSPITAL DESOTO","7601 SOUTHCREST DR","","","SOUTHAVEN","MS","38671","DESOTO","6627724000","100","390","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","370","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","391","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","360","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","360","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","102","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","222","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","153","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","193","","95","192","","100","429","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"250151","ALLIANCE HEALTH CENTER","5000 HIGHWAY 39 NORTH","","","MERIDIAN","MS","39301","LAUDERDALE","6014836211","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"250162","HANCOCK MEDICAL CENTER","149 DRINKWATER BLVD","","","BAY SAINT LOUIS","MS","39521","HANCOCK","2284678600","100","35","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","32","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","36","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","66","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","66","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","28","The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","11","The number of cases is too small to reliably tell how well a hospital is performing","100","13","The number of cases is too small to reliably tell how well a hospital is performing","99","73","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"250163","PATIENTS CHOICE MEDICAL CENTER","347 MAGNOLIA DRIVE","","","RALEIGH","MS","39153","SMITH","6017829998","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"251300","LACKEY MEMORIAL HOSPITAL","330 N BROAD STREET","","","FOREST","MS","39074","SCOTT","6014694151","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure"
"251303","STONE COUNTY HOSPITAL","1434 EAST CENTRAL AVENUE","","","WIGGINS","MS","39577","STONE","6019286600","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"251308","PONTOTOC HEALTH SERVICE CAH","176 SOUTH MAIN STREET","","","PONTOTOC","MS","38863","PONTOTOC","6624895510","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"251309","FIELD MEMORIAL COMMUNITY HOSPITAL","270 WEST MAIN STREET P O BOX 639","","","CENTREVILLE","MS","39631","WILKINSON","6016455221","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"251311","PATIENT'S CHOICE MEDICAL CENTER OF HUMPHREYS","500 CCC ROAD","","","BELZONI","MS","39038","HUMPHREYS","6622473831","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
