"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Number of Patients 1","Footnote 1","Percent of Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Number of Patients 2","Footnote 2","Percent of Heart Failure Patients Given Discharge Instructions","Number of Patients 3","Footnote 3"
"230069","SAINT JOSEPH MERCY LIVINGSTON HOSPITAL","620 BYRON RD","","","HOWELL","MI","48843","LIVINGSTON","5175456000","100","102","","96","26","","96","75",""
"200020","YORK HOSPITAL","15 HOSPITAL DRIVE","","","YORK","ME","03909","YORK","2073634321","100","116","","100","22","The number of cases is too small to reliably tell how well a hospital is performing","97","100",""
"150166","PINNACLE HOSPITAL","9301 CONNECTICUT DR","","","CROWN POINT","IN","46307","LAKE","2197562100","88","17","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","92","13","The number of cases is too small to reliably tell how well a hospital is performing"
"520189","AURORA MED CTR KENOSHA","10400 75TH ST","","","KENOSHA","WI","53142","KENOSHA","2629485600","100","67","","96","28","","84","56",""
"140202","ADVOCATE CONDELL MEDICAL CENTER","801 S MILWAUKEE AVE","","","LIBERTYVILLE","IL","60048","LAKE","8479905200","100","294","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","83","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","219","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450644","WEST HOUSTON MEDICAL CENTER","12141 RICHMOND AVE","","","HOUSTON","TX","77082","HARRIS","2815888080","100","294","","99","104","","93","244",""
"670068","TEXAS HEALTH PRESBYTERIAN HOSPITAL FLOWER MOUND","4400 LONG PRAIRIE ROAD","","","FLOWER MOUND","TX","75028","DENTON","9724191530","98","57","","80","20","The number of cases is too small to reliably tell how well a hospital is performing","65","43",""
"100256","REGIONAL MEDICAL CENTER BAYONET POINT","14000 FIVAY ROAD","","","HUDSON","FL","34667","PASCO","7278192929","100","308","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","79","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","253","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"110076","DEKALB MEDICAL CENTER","2701 N DECATUR ROAD","","","DECATUR","GA","30033","DEKALB","4045011000","100","321","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","127","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","274","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"381309","LAKE DISTRICT HOSPITAL","700 SOUTH J STREET","","","LAKEVIEW","OR","97630","LAKE","5419472114","81","21","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","94","18","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"390108","MONTGOMERY HOSPITAL","POWELL & FORNANCE STREETS","","","NORRISTOWN","PA","19401","MONTGOMERY","6102702000","99","218","","89","93","","95","187",""
"310045","ENGLEWOOD HOSPITAL AND MEDICAL CENTER","350 ENGLE ST","","","ENGLEWOOD","NJ","07631","BERGEN","2018943000","99","414","","99","103","","94","300",""
"271340","MARCUS DALY MEMORIAL HOSPITAL - CAH","1200 WESTWOOD DR","","","HAMILTON","MT","59840","RAVALLI","4063754408","100","36","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","63","30",""
"140145","ST JOSEPHS HOSPITAL","9515 HOLY CROSS LN","","","BREESE","IL","62230","CLINTON","6185264511","100","31","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","20","The number of cases is too small to reliably tell how well a hospital is performing"
"281316","WEBSTER COUNTY COMMUNITY HOSPITAL","P O BOX 465, 6TH AND FRANKLIN STS","","","RED CLOUD","NE","68970","WEBSTER","4027465600","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"450078","ANSON GENERAL HOSPITAL","101 AVENUE J","","","ANSON","TX","79501","JONES","3258233231","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"22001F","BEDFORD VA MEDICAL CENTER","200 SPRINGS ROAD","","","BEDFORD                       ","MA","01730","DENALI","7812757500","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"341321","BLOWING ROCK HOSPITAL","418 CHESTNUT DRIVE","","","BLOWING ROCK","NC","28605","WATAUGA","8282953136","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"450035","ST JOSEPH MEDICAL CENTER","1401 ST. JOSEPH PARKWAY","","","HOUSTON","TX","77002","HARRIS","7137571000","100","300","","96","136","","87","267",""
"531313","STAR VALLEY MEDICAL CENTER","901 ADAMS STREET","","","AFTON","WY","83110","LINCOLN","3078855800","100","16","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","92","12","The number of cases is too small to reliably tell how well a hospital is performing"
"161359","BURGESS HEALTH CENTER","1600 DIAMOND STREET","","","ONAWA","IA","51040","MONONA","7124232311","96","26","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","15","The number of cases is too small to reliably tell how well a hospital is performing"
"150084","ST VINCENT HOSPITAL & HEALTH SERVICES","2001 W 86TH ST","","","INDIANAPOLIS","IN","46260","MARION","3173387000","100","819","","100","220","","90","658",""
"241305","RIVERWOOD HEALTHCARE CENTER","200 BUNKER HILL DRIVE","","","AITKIN","MN","56431","AITKIN","2189275501","89","37","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","91","11","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","53","38","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"170191","GREAT BEND REGIONAL HOSPITAL","514 CLEVELAND STREET","","","GREAT BEND","KS","67530","BARTON","6207928833","64","14","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","36","11","The number of cases is too small to reliably tell how well a hospital is performing"
"500052","GROUP HEALTH CENTRAL HOSPITAL","201 - 16TH AVENUE EAST","","","SEATTLE","WA","98112","KING","2063263000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"151315","CAMERON MEMORIAL COMMUNITY HOSPITAL INC","416 E MAUMEE ST","","","ANGOLA","IN","46703","STEUBEN","2606652141","95","39","","91","11","The number of cases is too small to reliably tell how well a hospital is performing","100","24","The number of cases is too small to reliably tell how well a hospital is performing"
"161313","GENESIS MEDICAL CENTER-DEWITT","1118 11TH STREET","","","DEWITT","IA","52742","CLINTON","5636594200","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"140114","SWEDISH COVENANT HOSPITAL","5145 N CALIFORNIA AVE","","","CHICAGO","IL","60625","COOK","7738788200","100","389","","99","104","","100","292",""
"111329","GOOD SAMARITAN HOSPITAL, INC","1201 SILOAM ROAD","","","GREENSBORO","GA","30642","GREENE","7064537331","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"141328","HARDIN COUNTY GENERAL HOSPITAL","FERRELL ROAD","","","ROSICLARE","IL","62982","HARDIN","6182856634","100","36","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","32",""
"250123","GARDEN PARK MEDICAL CENTER","15200 COMMUNITY ROAD","","","GULFPORT","MS","39501","HARRISON","6018644210","100","120","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","46","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","101","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"270032","NORTHERN MONTANA HOSPITAL","30 13TH ST","","","HAVRE","MT","59501","HILL","4062652211","74","31","The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","90","21","The number of cases is too small to reliably tell how well a hospital is performing"
"450152","METROPLEX HOSPITAL","2201 S CLEAR CREEK ROAD","","","KILLEEN","TX","76542","BELL","2545267523","100","265","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","95","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","227","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"241381","SANFORD MEDICAL CENTER THIEF RIVER FALLS","120 LABREE AVENUE SOUTH","","","THIEF RIVER FALLS","MN","56701","PENNINGTON","2186814240","93","30","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","56","16","The number of cases is too small to reliably tell how well a hospital is performing"
"451334","PARKVIEW HOSPITAL","901 S. SWEETWATER","","","WHEELER","TX","79096","WHEELER","8068265581","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"450104","GUADALUPE REGIONAL MEDICAL CENTER","1215 E COURT ST","","","SEGUIN","TX","78155","GUADALUPE","8303792411","92","114","","94","33","","98","80",""
"100254","CAPITAL REGIONAL MEDICAL CENTER","2626 CAPITAL MEDICAL BLVD","","","TALLAHASSEE","FL","32308","LEON","8506565000","100","459","","100","191","","100","373",""
"241341","APPLETON MUNICIPAL HOSPITAL","30 SOUTH BEHL STREET","","","APPLETON","MN","56208","SWIFT","3202892422","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"220095","HEYWOOD HOSPITAL","242 GREEN STREET","","","GARDNER","MA","01440","WORCESTER","9786323420","97","149","","93","41","","80","122",""
"330307","CAYUGA MEDICAL CENTER AT ITHACA","101 DATES DRIVE","","","ITHACA","NY","14850","TOMPKINS","6072744401","98","86","","92","24","The number of cases is too small to reliably tell how well a hospital is performing","81","73",""
"440009","CUMBERLAND MEDICAL CENTER","421 S MAIN ST","","","CROSSVILLE","TN","38555","CUMBERLAND","9314849511","100","257","","85","65","","89","221",""
"260186","LAKE REGIONAL HEALTH SYSTEM","54 HOSPITAL DRIVE","","","OSAGE BEACH","MO","65065","CAMDEN","5733488000","100","227","","92","59","","84","180",""
"160005","ST ANTHONY REGIONAL HOSPITAL & NURSIING HOME","311 SOUTH CLARK STREET","","","CARROLL","IA","51401","CARROLL","7127923581","95","42","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","88","25",""
"140160","FHN MEMORIAL HOSPITAL","1045 WEST STEPHENSON STREET","","","FREEPORT","IL","61032","STEPHENSON","8152354131","100","165","","98","56","","95","111",""
"381323","SAMARITAN LEBANON COMMUNITY HOSPITAL","525 N SANTIAM HIGHWAY","","","LEBANON","OR","97355","LINN","5412582101","100","71","","100","16","The number of cases is too small to reliably tell how well a hospital is performing","100","56",""
"511317","PLATEAU MEDICAL CENTER","430 MAIN STREET","","","OAK HILL","WV","25901","FAYETTE","3044698600","100","70","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","13","The number of cases is too small to reliably tell how well a hospital is performing","92","53","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"160082","IOWA METHODIST MEDICAL CENTER","1200 PLEASANT STREET","","","DES MOINES","IA","50309","POLK","5152416212","98","228","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","52","The hospital indicated that the data submitted for this measure were based on a sample of cases","71","178","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"050758","MONTCLAIR HOSPITAL MEDICAL CENTER","5000 SAN BERNARDINO ST","","","MONTCLAIR","CA","91763","SAN BERNARDINO","9096258300","100","56","","100","15","The number of cases is too small to reliably tell how well a hospital is performing","100","44",""
"131315","SYRINGA GENERAL HOSPITAL","607 W MAIN STREET","","","GRANGEVILLE","ID","83530","IDAHO","2089831700","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"361320","HOLZER MEDICAL CENTER JACKSON","500 BURLINGTON ROAD","","","JACKSON","OH","45640","JACKSON","7403958500","90","40","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","83","29",""
"450795","ST ANTHONY'S HOSPITAL","2807 LITTLE YORK RD","","","HOUSTON","TX","77093","HARRIS","7136972961","76","85","The hospital indicated that the data submitted for this measure were based on a sample of cases","73","15","The number of cases is too small to reliably tell how well a hospital is performing","24","67","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"440186","RIVERVIEW REGIONAL MEDICAL CENTER SOUTH","158 HOSPITAL DRIVE","","","CARTHAGE","TN","37030","SMITH","6157351560","94","33","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","95","20","The number of cases is too small to reliably tell how well a hospital is performing"
"321301","SOCORRO GENERAL HOSPITAL","1202 HIGHWAY 60 WEST","","","SOCORRO","NM","87801","SOCORRO","5758351140","100","11","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","15","The number of cases is too small to reliably tell how well a hospital is performing"
"241314","JOHNSON MEMORIAL HOSPITAL","1282 WALNUT STREET","","","DAWSON","MN","56232","LAC QUI PARLE","3207694323","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"370218","SAINT FRANCIS HOSPITAL SOUTH","10501 EAST 91ST STREET SOUTH","","","TULSA","OK","74133","TULSA","9183076000","100","62","","100","21","The number of cases is too small to reliably tell how well a hospital is performing","88","50",""
"140117","RESURRECTION MEDICAL CENTER","7435 W TALCOTT AVENUE","","","CHICAGO","IL","60631","COOK","7737748000","100","503","","100","100","","96","344",""
"380090","BAY AREA HOSPITAL","1775 THOMPSON ROAD","","","COOS BAY","OR","97420","COOS","5412698111","94","170","","90","58","","85","135",""
"420009","OCONEE MEDICAL CENTER","298 MEMORIAL DRIVE","","","SENECA","SC","29672","OCONEE","8648823351","100","173","","100","56","","89","133",""
"171310","CHEYENNE COUNTY HOSPITAL","210 WEST 1ST STREET","","","ST FRANCIS","KS","67756","CHEYENNE","7853322104","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"390168","BUTLER MEMORIAL HOSPITAL","ONE HOSPITAL WAY","","","BUTLER","PA","16001","BUTLER","7242836666","100","280","","100","95","","99","207",""
"370203","COMMUNITY HOSPITAL","3100 SOUTHWEST 89TH STREET","","","OKLAHOMA CITY","OK","73159","OKLAHOMA","4056028100","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"450241","FAITH COMMUNITY HOSPITAL","717 MAGNOLIA ST","","","JACKSBORO","TX","76458","JACK","9405676633","86","29","","50","22","The number of cases is too small to reliably tell how well a hospital is performing","71","24","The number of cases is too small to reliably tell how well a hospital is performing"
"100228","WESTSIDE REGIONAL MEDICAL CENTER","8201 W BROWARD BLVD","","","PLANTATION","FL","33324","BROWARD","9544736600","100","409","","100","127","","100","312",""
"281331","AVERA CREIGHTON HOSPITAL","P O BOX 186, 1503 MAIN ST","","","CREIGHTON","NE","68729","KNOX","4023585700","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"05130F","SAN FRANCISCO VA MEDICAL CENTER","4150 CLEMENT STREET","","","SAN FRANCISCO                 ","CA","94121","SAN FRANCISCO","4152214810","100","214","","96","54","","94","194",""
"180017","T J SAMSON COMMUNITY HOSPITAL","1301 NORTH RACE STREET","","","GLASGOW","KY","42141","BARREN","2706514159","100","210","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","56","The hospital indicated that the data submitted for this measure were based on a sample of cases","77","159","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330397","INTERFAITH MEDICAL CENTER","1545 ATLANTIC AVENUE","","","BROOKLYN","NY","11213","KINGS","7186134000","99","194","","96","73","","96","171",""
"281330","WARREN MEMORIAL HOSPITAL","905 SECOND ST","","","FRIEND","NE","68359","SALINE","4029472541","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"471305","COPLEY HOSPITAL","528 WASHINGTON HIGHWAY","","","MORRISVILLE","VT","05661","LAMOILLE","8028884231","100","45","","100","13","The number of cases is too small to reliably tell how well a hospital is performing","84","38",""
"360086","SPRINGFIELD REGIONAL MEDICAL CENTER","100 MEDICAL CENTER DRIVE","","","SPRINGFIELD","OH","45504","CLARK","9375231000","99","511","","94","189","","92","375",""
"510023","WEIRTON MEDICAL CENTER","601 COLLIERS WAY","","","WEIRTON","WV","26062","HANCOCK","3047976000","100","222","","100","47","","90","174",""
"330396","WOODHULL MEDICAL AND MENTAL HEALTH CENTER","760 BROADWAY","","","BROOKLYN","NY","11206","KINGS","7189638100","100","264","","96","170","","100","234",""
"220119","FAULKNER HOSPITAL","1153 CENTRE STREET","","","BOSTON","MA","02130","SUFFOLK","6179837000","100","225","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","46","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","162","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"371316","STROUD REGIONAL MEDICAL CENTER","2308 HIGHWAY 66 WEST","","","STROUD","OK","74079","LINCOLN","9189683571","16","19","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","100","13","The number of cases is too small to reliably tell how well a hospital is performing"
"371318","FAIRFAX COMMUNITY HOSPITAL","40 HOSPITAL ROAD","","","FAIRFAX","OK","74637","OSAGE","9186423291","100","11","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"360192","UH GEAUGA MEDICAL CENTER","13207 RAVENNA RD","","","CHARDON","OH","44024","GEAUGA","4402696000","100","192","","100","33","","100","138",""
"170074","GEARY COMMUNITY HOSPITAL","1102 ST MARY'S ROAD","","","JUNCTION CITY","KS","66441","GEARY","9132103301","63","35","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","67","24","The number of cases is too small to reliably tell how well a hospital is performing"
"260102","TRUMAN MEDICAL CENTER LAKEWOOD","7900 LEE'S SUMMIT RD","","","KANSAS CITY","MO","64139","JACKSON","8164047000","100","48","","96","23","The number of cases is too small to reliably tell how well a hospital is performing","95","41",""
"330135","BON SECOURS COMMUNITY HOSPITAL","160 EAST MAIN STREET","","","PORT JERVIS","NY","12771","ORANGE","8458565351","100","117","","97","38","","99","95",""
"370228","BAILEY MEDICAL CENTER, L L C","10502 NORTH 110TH EAST AVENUE","","","OWASSO","OK","74055","TULSA","9183768000","100","25","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","78","18","The number of cases is too small to reliably tell how well a hospital is performing"
"20003F","TOGUS VA MEDICAL CENTER","1 VA CENTER","","","AUGUSTA                       ","ME","04330","BETHEL","2076238411","100","76","","76","21","The number of cases is too small to reliably tell how well a hospital is performing","94","64",""
"150176","KENTUCKIANA MEDICAL CENTER LLC","4601 MEDICAL PLAZA WAY","","","CLARKSVILLE","IN","47129","CLARK","8122803300","98","52","","100","31","","98","45",""
"041303","MERCY HOSPITAL TURNER MEMORIAL","801 WEST RIVER STREET","","","OZARK","AR","72949","FRANKLIN","4796674138","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"340132","MARIA PARHAM MEDICAL CENTER","PO BOX 59","","","HENDERSON","NC","27536","VANCE","2524384143","98","150","","97","64","","86","120",""
"450484","WOODLAND HEIGHTS MEDICAL CENTER","505 SOUTH JOHN REDDITT DRIVE","","","LUFKIN","TX","75904","ANGELINA","9366348311","100","145","","100","53","","97","116",""
"440051","MCNAIRY REGIONAL HOSPITAL","705 E POPLAR AVE","","","SELMER","TN","38375","MCNAIRY","7316453221","100","27","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","19","The number of cases is too small to reliably tell how well a hospital is performing"
"171376","GIRARD MEDICAL CENTER","302 NORTH HOSPITAL DRIVE","","","GIRARD","KS","66743","CRAWFORD","6207248291","95","39","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","96","24","The number of cases is too small to reliably tell how well a hospital is performing"
"140288","ADVOCATE GOOD SAMARITAN HOSPITAL","3815 HIGHLAND AVENUE","","","DOWNERS GROVE","IL","60515","DUPAGE","6302755900","100","365","","100","103","","100","256",""
"390079","ROBERT PACKER HOSPITAL","ONE GUTHRIE SQUARE","","","SAYRE","PA","18840","BRADFORD","5708886666","100","360","","96","149","","91","289",""
"191320","BIENVILLE MEDICAL CENTER","1175 PINE STREET","","","ARCADIA","LA","71001","BIENVILLE","3182634700","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"450200","WADLEY REGIONAL MEDICAL CENTER","1000 PINE STREET","","","TEXARKANA","TX","75501","BOWIE","9037988000","100","223","","100","88","","96","179",""
"361324","MEDCENTRAL HEALTH SYSTEM SHELBY HOSPITAL","199 WEST MAIN STREET","","","SHELBY","OH","44875","RICHLAND","4193425015","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"150076","SAINT JOSEPH'S REGIONAL MEDICAL CENTER - PLYMOUTH","1915 LAKE AVE","","","PLYMOUTH","IN","46563","MARSHALL","5749363181","100","75","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","98","57",""
"180029","HAZARD ARH REGIONAL MEDICAL CENTER","100 MEDICAL CENTER DRIVE","","","HAZARD","KY","41701","PERRY","6064396600","96","255","","87","47","","90","224",""
"110036","MEMORIAL HEALTH UNIV MED CEN, INC","4700 WATERS AVENUE","","","SAVANNAH","GA","31403","CHATHAM","9123508000","99","286","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","96","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","260","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"360148","POMERENE HOSPITAL","981 WOOSTER ROAD","","","MILLERSBURG","OH","44654","HOLMES","3306741015","100","37","","100","12","The number of cases is too small to reliably tell how well a hospital is performing","92","26",""
"241339","HENDRICKS COMMUNITY HOSPITAL","503 E LINCOLN STREET","","","HENDRICKS","MN","56136","LINCOLN","5072753134","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"140174","PROVENA MERCY MEDICAL CENTER","1325 N HIGHLAND AVENUE","","","AURORA","IL","60506","KANE","6308592222","98","182","","98","50","","97","153",""
"161306","JONES REGIONAL MEDICAL CENTER","1795 HIGHWAY 64 EAST","","","ANAMOSA","IA","52205","JONES","3194626131","68","19","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","56","16","The number of cases is too small to reliably tell how well a hospital is performing"
"050291","SUTTER MEDICAL CENTER OF SANTA ROSA","3325 CHANATE RD","","","SANTA ROSA","CA","95404","SONOMA","7075764000","100","105","","100","45","","99","91",""
"521335","HUDSON HOSPITAL","405 STAGELINE ROAD","","","HUDSON","WI","54016","SAINT CROIX","7155316000","96","26","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","94","17","The number of cases is too small to reliably tell how well a hospital is performing"
"060103","CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL","100 HEALTH PARK DRIVE","","","LOUISVILLE","CO","80027","BOULDER","3036731000","100","30","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","88","24","The number of cases is too small to reliably tell how well a hospital is performing"
"111326","LOUIS SMITH MEMORIAL HOSPITAL","116 WEST THIGPEN AVENUE","","","LAKELAND","GA","31635","LANIER","2294828402","81","16","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","85","13","The number of cases is too small to reliably tell how well a hospital is performing"
"101305","GEORGE E WEEMS MEMORIAL HOSPITAL","135 AVE G","","","APALACHICOLA","FL","32320","FRANKLIN","8506538853","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"381325","GOOD SHEPHERD MEDICAL CENTER","610 NW 11TH STREET","","","HERMISTON","OR","97838","UMATILLA","5416673400","91","46","","94","16","The number of cases is too small to reliably tell how well a hospital is performing","66","38",""
"440104","ERLANGER MEDICAL CENTER","975 E 3RD ST","","","CHATTANOOGA","TN","37403","HAMILTON","4237787000","99","354","","95","120","","90","304",""
