"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Heart Attack Patients Given Aspirin at Discharge","Number of Patients 2","Footnote 2","Percent of Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","Number of Patients 6","Footnote 6","Percent of Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","Number of Patients 7","Footnote 7","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG","Number of Patients 8","Footnote 8","Average number of minutes before outpatients with chest pain or possible heart attack  were transferred to another hospital","Number of Patients 9","Footnote 9","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival","Number of Patients 11","Footnote 11","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival","Number of Patients 12","Footnote 12","Heart Attack Patients Given a Prescription for a Statin at Discharge","Number of Patients 13","Footnote 13","Median Time to Fibrinolysis","Number of Patients 10","Footnote 10"
"220108","MILTON HOSPITAL INC","199 REEDSDALE ROAD","","","MILTON","MA","02186","NORFOLK","6176964600","95","21","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","14","88","","76","22","The number of cases is too small to reliably tell how well a hospital is performing","100","85","","Not Available","0","","91","23","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"220110","BRIGHAM AND WOMEN'S HOSPITAL","75 FRANCIS STREET","","","BOSTON","MA","02115","SUFFOLK","6177325500","100","433","","Not Available","0","","88","34","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","99","418","","Not Available","Not Available","No data are available from the hospital for this measure"
"220111","GOOD SAMARITAN MEDICAL CENTER","235 NORTH PEARL STREET","","","BROCKTON","MA","02301","PLYMOUTH","5084273000","99","120","","Not Available","0","","96","47","","0","50","","Not Available","Not Available","No data are available from the hospital for this measure","98","49","","Not Available","0","","93","122","","Not Available","0",""
"220116","TUFTS MEDICAL CENTER","800 WASHINGTON STREET","","","BOSTON","MA","02111","SUFFOLK","6176365000","100","437","","Not Available","0","","95","20","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","100","424","","Not Available","Not Available","No data are available from the hospital for this measure"
"220119","FAULKNER HOSPITAL","1153 CENTRE STREET","","","BOSTON","MA","02130","SUFFOLK","6179837000","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","9","40","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","42","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"220126","NORWOOD HOSPITAL","800 WASHINGTON STREET","","","NORWOOD","MA","02062","NORFOLK","5087721000","100","89","","Not Available","0","","92","36","","0","47","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","98","47","","Not Available","0","","97","86","","Not Available","0",""
"220135","FALMOUTH HOSPITAL","67 & 100 TER HEUN DRIVE","","","FALMOUTH","MA","02540","BARNSTABLE","5085485300","100","46","","Not Available","0","","Not Available","0","","7","36","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","34","","Not Available","0","","95","44","","Not Available","0",""
"220163","UMASS MEMORIAL MEDICAL CENTER INC","55 LAKE AVENUE NORTH","","","WORCESTER","MA","01655","WORCESTER","5083341000","100","615","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","75","The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","100","603","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","Not Available","No data are available from the hospital for this measure"
"220171","LAHEY CLINIC HOSPITAL","41 & 45 MALL ROAD","","","BURLINGTON","MA","01803","MIDDLESEX","7817445100","100","626","","Not Available","0","","97","60","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","99","610","","Not Available","Not Available","No data are available from the hospital for this measure"
"220174","MERRIMACK VALLEY HOSPITAL","140 LINCOLN AVENUE","","","HAVERHILL","MA","01830","ESSEX","9783742000","97","31","","Not Available","0","","Not Available","0","","14","25","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","96","25","","Not Available","0","","96","24","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"220175","METROWEST MEDICAL CENTER","115 LINCOLN STREET","","","FRAMINGHAM","MA","01701","MIDDLESEX","5083831000","100","92","","Not Available","0","","97","35","","2","42","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","97","38","","Not Available","0","","99","89","","Not Available","0",""
"220176","ST VINCENT HOSPITAL","123 SUMMER STREET","","","WORCESTER","MA","01608","WORCESTER","5083635000","100","318","","Not Available","0","","98","40","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","99","307","","Not Available","Not Available","No data are available from the hospital for this measure"
"220177","NANTUCKET COTTAGE HOSPITAL","57 PROSPECT STREET","","","NANTUCKET","MA","02554","NANTUCKET","5082281200","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"230002","ST MARY MERCY HOSPITAL","36475 FIVE MILE ROAD","","","LIVONIA","MI","48154","WAYNE","7346554800","96","185","","Not Available","0","","100","44","","12","50","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","98","49","","Not Available","0","","97","183","","Not Available","0",""
"230003","SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL","8333 FELCH ST","","","ZEELAND","MI","49464","OTTAWA","6167724644","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","10","58","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","93","56","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"230004","MERCY HEALTH PARTNERS, MERCY CAMPUS","1500 E SHERMAN BOULEVARD","","","MUSKEGON","MI","49444","MUSKEGON","2316723901","100","367","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","54","The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","99","358","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"230005","EMMA L BIXBY MEDICAL CENTER","818 RIVERSIDE AVENUE","","","ADRIAN","MI","49221","LENAWEE","5172650900","97","31","","Not Available","0","","Not Available","0","","5","189","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","97","180","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","30","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"230013","DOCTORS' HOSPITAL OF MICHIGAN","461 W HURON ST","","","PONTIAC","MI","48341","OAKLAND","2488577200","Not Available","0","","Not Available","0","","Not Available","0","","10","15","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","93","15","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","Not Available","0",""
"230015","THREE RIVERS HEALTH","701 S HEALTH PARKWAY","","","THREE RIVERS","MI","49093","SAINT JOSEPH","2692739602","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","7","135","","55","15","The number of cases is too small to reliably tell how well a hospital is performing","97","128","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"230017","BRONSON METHODIST HOSPITAL","601 JOHN STREET","","","KALAMAZOO","MI","49007","KALAMAZOO","2693416000","99","414","","Not Available","0","","88","81","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","98","395","","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"230019","PROVIDENCE HOSPITAL AND MEDICAL CENTERS","16001 W NINE MILE RD","","","SOUTHFIELD","MI","48075","OAKLAND","2488493011","99","428","","Not Available","0","","92","24","The number of cases is too small to reliably tell how well a hospital is performing","2","15","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","86","14","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","99","419","","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"230020","OAKWOOD HOSPITAL AND MEDICAL CENTER","18101 OAKWOOD BLVD","","","DEARBORN","MI","48124","WAYNE","3135937125","100","699","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","74","The hospital indicated that the data submitted for this measure were based on a sample of cases","0","23","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","80","20","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","95","713","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"230021","LAKELAND HOSPITAL, ST JOSEPH","1234 NAPIER AVENUE","","","ST JOSEPH","MI","49085","BERRIEN","2699838300","99","331","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","98","41","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","98","290","","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"230022","COMMUNITY HEALTH CENTER OF BRANCH COUNTY","274 E CHICAGO ST","","","COLDWATER","MI","49036","BRANCH","5172795400","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","7","207","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","98","194","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"230024","SINAI-GRACE HOSPITAL","6071 W OUTER DRIVE","","","DETROIT","MI","48235","WAYNE","3139663300","98","432","","Not Available","0","","94","32","","10","20","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","100","19","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","95","430","","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"230029","ST JOSEPH MERCY OAKLAND","44405 WOODWARD AVE","","","PONTIAC","MI","48341","OAKLAND","2488583000","100","309","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","65","The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","100","294","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","Not Available","No data are available from the hospital for this measure"
"230030","MIDMICHIGAN MEDICAL CENTER-GRATIOT","300 E WARWICK DR","","","ALMA","MI","48801","GRATIOT","9894631101","86","22","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","3","99","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","97","93","","40","15","The number of cases is too small to reliably tell how well a hospital is performing","59","22","The number of cases is too small to reliably tell how well a hospital is performing","35","15","The number of cases is too small to reliably tell how well a hospital is performing"
"230031","ST JOSEPH MERCY PORT HURON","2601 ELECTRIC AVENUE","","","PORT HURON","MI","48060","SAINT CLAIR","8109851510","100","27","","Not Available","0","","Not Available","0","","7","28","","54","14","The number of cases is too small to reliably tell how well a hospital is performing","100","28","","Not Available","0","","87","23","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"230035","SPECTRUM HEALTH UNITED MEMORIAL - UNITED CAMPUS","615 S BOWER STREET","","","GREENVILLE","MI","48838","MONTCALM","6167544691","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","7","146","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","96","141","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"230036","ALPENA REGIONAL MEDICAL CENTER","1501 W CHISHOLM ST","","","ALPENA","MI","49707","ALPENA","9893567390","100","18","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","7","94","","Not Available","0","","100","94","","82","22","The number of cases is too small to reliably tell how well a hospital is performing","100","16","The number of cases is too small to reliably tell how well a hospital is performing","22","22","The number of cases is too small to reliably tell how well a hospital is performing"
"230037","HILLSDALE COMMUNITY HEALTH CENTER","168 S HOWELL STREET","","","HILLSDALE","MI","49242","HILLSDALE","5174374451","100","17","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","7","99","","68","18","The number of cases is too small to reliably tell how well a hospital is performing","96","92","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","12","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"230038","SPECTRUM HEALTH - BUTTERWORTH CAMPUS","100 MICHIGAN ST NE","","","GRAND RAPIDS","MI","49503","KENT","6163911774","99","1045","","Not Available","0","","96","119","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","99","1011","","Not Available","Not Available","No data are available from the hospital for this measure"
"230040","PENNOCK HOSPITAL","1009 W GREEN ST","","","HASTINGS","MI","49058","BARRY","2699453451","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","8","94","","55","11","The number of cases is too small to reliably tell how well a hospital is performing","96","92","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"230041","MCLAREN BAY REGION","1900 COLUMBUS AVE","","","BAY CITY","MI","48708","BAY","9898943000","100","349","","Not Available","0","","84","50","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","96","344","","Not Available","Not Available","No data are available from the hospital for this measure"
"230046","UNIVERSITY OF MICHIGAN HEALTH SYSTEM","1500 E MEDICAL CENTER DRIVE, SPC 5474","","","ANN ARBOR","MI","48109","WASHTENAW","7347641505","100","318","","Not Available","0","","98","54","","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","99","307","","Not Available","Not Available","No data are available from the hospital for this measure"
"230047","HENRY FORD MACOMB HOSPITAL","15855 NINETEEN MILE RD","","","CLINTON TOWNSHIP","MI","48038","MACOMB","5862632300","100","490","","Not Available","0","","99","81","","18","87","","68","19","The number of cases is too small to reliably tell how well a hospital is performing","99","84","","Not Available","0","","95","479","","Not Available","0",""
"230053","HENRY FORD HOSPITAL","2799 W GRAND BLVD","","","DETROIT","MI","48202","WAYNE","3139162600","99","812","","Not Available","0","","97","32","","13","34","","Not Available","Not Available","No data are available from the hospital for this measure","97","32","","Not Available","0","","96","802","","Not Available","0",""
"230054","MARQUETTE GENERAL HOSPITAL","420 W MAGNETIC","","","MARQUETTE","MI","49855","MARQUETTE","9062289440","99","339","","Not Available","0","","93","14","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","98","329","","Not Available","Not Available","No data are available from the hospital for this measure"
"230055","DICKINSON COUNTY MEMORIAL HOSPITAL","1721 S STEPHENSON AVE","","","IRON MOUNTAIN","MI","49801","DICKINSON","9067741313","96","28","","Not Available","0","","Not Available","0","","10","104","","Not Available","0","","97","103","","71","17","The number of cases is too small to reliably tell how well a hospital is performing","88","25","","26","17","The number of cases is too small to reliably tell how well a hospital is performing"
"230058","MERCY HOSPITAL - GRAYLING","1100 E MICHIGAN AVE","","","GRAYLING","MI","49738","CRAWFORD","9893485461","100","15","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","5","193","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","98","194","","82","11","The number of cases is too small to reliably tell how well a hospital is performing","82","11","The number of cases is too small to reliably tell how well a hospital is performing","18","11","The number of cases is too small to reliably tell how well a hospital is performing"
"230059","SAINT MARY'S HEALTH CARE","200 JEFFERSON AVENUE SE","","","GRAND RAPIDS","MI","49503","KENT","6166855000","98","108","","Not Available","0","","100","23","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","100","110","","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"230066","MERCY HEALTH PARTNERS, HACKLEY CAMPUS","1700 CLINTON STREET","","","MUSKEGON","MI","49442","MUSKEGON","2317263511","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","15","41","","58","12","The number of cases is too small to reliably tell how well a hospital is performing","91","43","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"230069","SAINT JOSEPH MERCY LIVINGSTON HOSPITAL","620 BYRON RD","","","HOWELL","MI","48843","LIVINGSTON","5175456000","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","7","224","","50","26","","90","216","","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0",""
"230070","COVENANT MEDICAL CENTER, INC","1447 N HARRISON","","","SAGINAW","MI","48602","SAGINAW","9895834000","99","475","","Not Available","0","","91","47","","22","13","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","77","13","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","97","455","","Not Available","Not Available","No data are available from the hospital for this measure"
"230071","STRAITH HOSPITAL FOR SPECIAL SURGERY","23901 LAHSER","","","SOUTHFIELD","MI","48033","OAKLAND","2483573360","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"230072","HOLLAND COMMUNITY HOSPITAL","602 MICHIGAN AVE","","","HOLLAND","MI","49423","OTTAWA","6163925141","100","77","","Not Available","0","","100","31","","9","27","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","23","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","100","71","","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"230075","BRONSON BATTLE CREEK HOSPITAL","300 NORTH AVENUE","","","BATTLE CREEK","MI","49017","CALHOUN","2699668000","98","53","","Not Available","0","","Not Available","0","","14","156","","66","14","The number of cases is too small to reliably tell how well a hospital is performing","97","155","","Not Available","0","","98","47","","Not Available","0",""
"230077","ST MARY'S OF MICHIGAN MEDICAL CENTER","800 S WASHINGTON AVENUE","","","SAGINAW","MI","48601","SAGINAW","9897768000","99","276","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","76","21","The number of cases is too small to reliably tell how well a hospital is performing","29","11","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","94","270","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","Not Available","No data are available from the hospital for this measure"
"230078","LAKELAND COMMUNITY HOSPITAL, WATERVLIET","400 MEDICAL PARK DR","","","WATERVLIET","MI","49098","BERRIEN","2694633111","Not Available","0","","Not Available","0","","Not Available","0","","10","47","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","93","46","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"230080","MCLAREN - CENTRAL MICHIGAN","1221 SOUTH DRIVE","","","MOUNT PLEASANT","MI","48858","ISABELLA","9897726700","93","28","","Not Available","0","","Not Available","0","","5","51","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","94","50","","73","15","The number of cases is too small to reliably tell how well a hospital is performing","78","27","","28","15","The number of cases is too small to reliably tell how well a hospital is performing"
"230081","MERCY HOSPITAL - CADILLAC","400 HOBART ST","","","CADILLAC","MI","49601","WEXFORD","2318767200","96","28","","Not Available","0","","Not Available","0","","9","80","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","98","80","","67","15","The number of cases is too small to reliably tell how well a hospital is performing","85","26","","24","14","The number of cases is too small to reliably tell how well a hospital is performing"
"230085","SOUTH HAVEN COMMUNITY HOSPITAL","955 S BAILEY AVE","","","SOUTH HAVEN","MI","49090","VAN BUREN","2696375271","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","8","89","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","99","84","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"230089","BEAUMONT HOSPITAL, GROSSE POINTE","468 CADIEUX RD","","","GROSSE POINTE","MI","48230","WAYNE","3133431000","100","42","","Not Available","0","","Not Available","0","","3","27","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","26","","Not Available","0","","100","38","","Not Available","0",""
"230092","ALLEGIANCE HEALTH","205 N EAST AVE","","","JACKSON","MI","49201","JACKSON","5177884800","100","305","","Not Available","0","","93","73","","6","18","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","71","17","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","98","285","","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"230093","MECOSTA COUNTY MEDICAL CENTER","605 OAK STREET","","","BIG RAPIDS","MI","49307","MECOSTA","2317968691","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","","Not Available","0","","10","161","","Not Available","0","","99","153","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
