"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Pneumonia Patients Whose Initial ER Blood Culture Was Performed Prior To Administration Of First Dose Of Antibiotics","Number of Patients 2","Footnote 2","Percent of Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","Number of Patients 4","Footnote 4"
"231314","MCKENZIE MEMORIAL HOSPITAL","120 DELAWARE STREET","","","SANDUSKY","MI","48471","SANILAC","8106483770","99","67","","93","43",""
"360055","TRUMBULL MEMORIAL HOSPITAL","1350 EAST MARKET STREET","","","WARREN","OH","44482","TRUMBULL","3308419011","99","280","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","199","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"490052","RIVERSIDE REGIONAL MEDICAL CENTER","500 J CLYDE MORRIS BLVD","","","NEWPORT NEWS","VA","23601","NEWPORT NEWS CITY","7575942000","100","200","","100","129",""
"450018","UNIVERSITY OF TEXAS MEDICAL BRANCH GAL","301 UNIVERSITY BOULEVARD","","","GALVESTON","TX","77555","GALVESTON","4097721011","100","54","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","33","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"161318","VETERANS MEMORIAL HOSPITAL","40 1ST STREET SE","","","WAUKON","IA","52172","ALLAMAKEE","5635683411","94","17","The number of cases is too small to reliably tell how well a hospital is performing","95","21","The number of cases is too small to reliably tell how well a hospital is performing"
"520027","COLUMBIA ST MARY'S HOSPITAL OZAUKEE, INC","13111 N PORT WASHINGTON RD","","","MEQUON","WI","53097","OZAUKEE","2622437300","98","122","","95","102",""
"100269","PALMS WEST HOSPITAL","13001 SOUTHERN BLVD","","","LOXAHATCHEE","FL","33470","PALM BEACH","5617534245","100","139","","99","101",""
"171377","SMITH COUNTY MEMORIAL HOSPITAL","614 SOUTH MAIN STREET","","","SMITH CENTER","KS","66967","SMITH","7852826845","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","83","24","The number of cases is too small to reliably tell how well a hospital is performing"
"200063","PENOBSCOT BAY MEDICAL CENTER","6 GLEN COVE DRIVE","","","ROCKPORT","ME","04856","KNOX","2075968000","94","100","","95","62",""
"361319","SELBY GENERAL HOSPITAL","1106 COLEGATE DRIVE","","","MARIETTA","OH","45750","WASHINGTON","7405682000","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"160122","FORT MADISON COMMUNITY HOSPITAL","5445 AVE O","","","FORT MADISON","IA","52627","LEE","3193726530","100","70","","97","62",""
"050121","ADVENTIST MEDICAL CENTER","115 MALL DRIVE","","","HANFORD","CA","93230","KINGS","5595829000","97","371","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","247","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"140162","ST JOSEPH MEDICAL CENTER","2200 E WASHINGTON","","","BLOOMINGTON","IL","61701","MCLEAN","3096623311","99","137","","96","92",""
"500148","WENATCHEE VALLEY HOSPITAL","820 NORTH CHELAN STREET","","","WENATCHEE","WA","98801","CHELAN","5096638711","100","12","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","14","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"330238","NICHOLAS H NOYES MEMORIAL HOSPITAL","111  CLARA BARTON STREET","","","DANSVILLE","NY","14437","LIVINGSTON","5853356001","98","87","","90","81",""
"260005","SSM ST JOSEPH HEALTH CENTER","300 1ST CAPITOL DR","","","SAINT CHARLES","MO","63301","SAINT CHARLES","6369475000","95","111","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","59","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"140068","ROSELAND COMMUNITY HOSPITAL","45 W 111TH STREET","","","CHICAGO","IL","60628","COOK","7739953000","73","67","The hospital indicated that the data submitted for this measure were based on a sample of cases","70","93","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"510038","STONEWALL JACKSON MEM HOSP","230 HOSPITAL PLAZA","","","WESTON","WV","26452","LEWIS","3042698080","99","100","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","61","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"131320","CLEARWATER VALLEY HOSPITAL & CLINICS","301 CEDAR STREET","","","OROFINO","ID","83544","CLEARWATER","2084764555","Not Available","Not Available","No data are available from the hospital for this measure","97","33",""
"240053","PARK NICOLLET METHODIST HOSPITAL","6500 EXCELSIOR BLVD","","","SAINT LOUIS PARK","MN","55426","HENNEPIN","9529935000","92","292","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","218","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"111318","MONROE COUNTY HOSPITAL","88 MARTIN LUTHER KING JR DRIVE","","","FORSYTH","GA","31029","MONROE","4789942521","94","18","The number of cases is too small to reliably tell how well a hospital is performing","100","15","The number of cases is too small to reliably tell how well a hospital is performing"
"440189","REGIONAL HOSPITAL OF JACKSON","367 HOSPITAL BLVD","","","JACKSON","TN","38305","MADISON","7316612000","100","105","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","38","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"110192","EMORY EASTSIDE MEDICAL CENTER","1700 MEDICAL WAY","","","SNELLVILLE","GA","30078","GWINNETT","7707362498","98","179","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","111","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100126","PALMS OF PASADENA HOSPITAL","1501 PASADENA AVE SOUTH","","","SAINT PETERSBURG","FL","33707","PINELLAS","7273811000","98","87","","96","81",""
"520044","ST NICHOLAS HOSPITAL","3100 SUPERIOR AVE","","","SHEBOYGAN","WI","53081","SHEBOYGAN","9204598300","98","111","","91","70",""
"330065","NIAGARA FALLS MEMORIAL MEDICAL CENTER","621 TENTH STREET","","","NIAGARA FALLS","NY","14302","NIAGARA","7162784000","98","120","","96","75",""
"330056","BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS","121 DEKALB AVENUE","","","BROOKLYN","NY","11201","KINGS","7182508000","94","264","","98","66",""
"161331","MERCY MEDICAL CENTER-NEW HAMPTON","308 NORTH MAPLE AVENUE","","","NEW HAMPTON","IA","50659","CHICKASAW","6413944121","100","26","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","92","13","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"330213","LEWIS COUNTY GENERAL HOSPITAL","7785 NORTH STATE STREET","","","LOWVILLE","NY","13367","LEWIS","3153765200","96","46","","94","32",""
"050261","SIERRA VIEW DISTRICT HOSPITAL","465 W PUTNAM AVE","","","PORTERVILLE","CA","93257","TULARE","5597841110","95","243","","91","169",""
"500053","KENNEWICK GENERAL HOSPITAL","900 SOUTH AUBURN STREET","","","KENNEWICK","WA","99336","BENTON","5095866111","100","74","","95","83",""
"510006","UNITED HOSPITAL CENTER","327 MEDICAL PARK DRIVE","","","BRIDGEPORT","WV","26330","HARRISON","6813421000","99","375","","94","332",""
"230093","MECOSTA COUNTY MEDICAL CENTER","605 OAK STREET","","","BIG RAPIDS","MI","49307","MECOSTA","2317968691","95","108","","90","59",""
"500152","SWEDISH ISSAQUAH","751 NE BLAKELY DR","","","ISSAQUAH","WA","98029","KING","4253134000","97","29","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","83","12","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"450399","BROWNFIELD REGIONAL MEDICAL CENTER","705 EAST FELT STREET","","","BROWNFIELD","TX","79316","TERRY","8066373551","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","95","19","The number of cases is too small to reliably tell how well a hospital is performing"
"341307","PENDER MEMORIAL HOSPITAL","507 E FREMONT ST","","","BURGAW","NC","28425","PENDER","9102595451","98","48","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","96","28","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"370203","COMMUNITY HOSPITAL","3100 SOUTHWEST 89TH STREET","","","OKLAHOMA CITY","OK","73159","OKLAHOMA","4056028100","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"500019","PROVIDENCE CENTRALIA HOSPITAL","914 S SCHEUBER ROAD","","","CENTRALIA","WA","98531","LEWIS","3607362803","99","159","","96","102",""
"050396","SANTA BARBARA COTTAGE HOSPITAL","400 WEST PUEBLO","","","SANTA BARBARA","CA","93102","SANTA BARBARA","8056827111","94","217","","89","133",""
"170109","MIAMI COUNTY MEDICAL CENTER","2100 BAPTISTE DRIVE","","","PAOLA","KS","66071","MIAMI","9135574385","84","19","The number of cases is too small to reliably tell how well a hospital is performing","100","16","The number of cases is too small to reliably tell how well a hospital is performing"
"060011","DENVER HEALTH MEDICAL CENTER","777 BANNOCK ST","","","DENVER","CO","80204","DENVER","3034366000","94","31","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","73","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100187","PALMETTO GENERAL HOSPITAL","2001 W 68TH ST","","","HIALEAH","FL","33016","MIAMI-DADE","3058235000","99","297","","99","158",""
"140100","MIDWESTERN REGION MED CENTER","2520 ELISHA AVENUE","","","ZION","IL","60099","LAKE","8478724561","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"390049","ST LUKE'S HOSPITAL BETHLEHEM","801 OSTRUM STREET","","","BETHLEHEM","PA","18015","NORTHAMPTON","6109544000","99","572","","98","321",""
"670047","SIERRA PROVIDENCE EAST MEDICAL CENTER","3280 JOE BATTLE BLVD","","","EL PASO","TX","79938","EL PASO","9158567349","96","159","","98","131",""
"063301","CHILDRENS HOSPITAL COLORADO","13123 EAST 16TH AVENUE","","","AURORA","CO","80045","ADAMS","7207771234","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"450825","CORNERSTONE REGIONAL HOSPITAL","2302 CORNERSTONE BOULEVARD","","","EDINBURG","TX","78539","HIDALGO","9566184444","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"420023","ST FRANCIS-DOWNTOWN","ONE ST FRANCIS DR","","","GREENVILLE","SC","29601","GREENVILLE","8642551000","95","189","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","116","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"180093","REGIONAL MEDICAL CENTER OF HOPKINS COUNTY","900 HOSPITAL DRIVE","","","MADISONVILLE","KY","42431","HOPKINS","2708255100","100","138","","95","100",""
"320067","GUADALUPE COUNTY HOSPITAL","117 CAMINO DE VIDA, SUITE 100","","","SANTA ROSA","NM","88435","GUADALUPE","5754723417","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","92","12","The number of cases is too small to reliably tell how well a hospital is performing"
"110004","HUTCHESON MEDICAL CENTER","100 GROSS CRESCENT","","","FORT OGLETHORPE","GA","30742","CATOOSA","7068582101","99","163","","93","86",""
"150004","FRANCISCAN ST MARGARET HEALTH - HAMMOND","5454 HOHMAN AVE","","","HAMMOND","IN","46320","LAKE","2199322300","99","209","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","82","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"390107","UPMC PASSAVANT","9100 BABCOCK BOULEVARD","","","PITTSBURGH","PA","15237","ALLEGHENY","4123676700","99","323","","94","204",""
"450011","ST JOSEPH REGIONAL HEALTH CENTER","2801 FRANCISCAN DR","","","BRYAN","TX","77802","BRAZOS","9797763912","98","261","","99","123",""
"240057","ABBOTT NORTHWESTERN HOSPITAL","800 EAST 28TH STREET","","","MINNEAPOLIS","MN","55407","HENNEPIN","6128634000","95","184","","95","116",""
"170194","DOCTORS HOSPITAL LLC","4901 COLLEGE BLVD","","","LEAWOOD","KS","66211","JOHNSON","9135291801","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"500021","SAINT CLARE HOSPITAL","11315 BRIDGEPORT WAY S W","","","LAKEWOOD","WA","98499","PIERCE","2535881711","100","217","","98","152",""
"420018","PALMETTO HEALTH RICHLAND","5 RICHLAND MEDICAL PARK","","","COLUMBIA","SC","29203","RICHLAND","8032965678","94","157","","94","94",""
"061302","FAMILY HEALTH WEST HOSPITAL","300 WEST OTTLEY AVENUE","","","FRUITA","CO","81521","MESA","9708589871","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"260115","MISSOURI BAPTIST HOSPITAL SULLIVAN","751 SAPPINGTON BRIDGE RD","","","SULLIVAN","MO","63080","FRANKLIN","5734684186","99","103","","99","69",""
"210007","SAINT JOSEPH MEDICAL CENTER","7601 OSLER DRIVE","","","TOWSON","MD","21204","BALTIMORE","4103374488","91","118","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","84","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"140026","ST MARYS HOSPITAL","111  SPRING STREET","","","STREATOR","IL","61364","LA SALLE","8156732311","100","107","","95","64",""
"501332","TRI-STATE MEMORIAL HOSPITAL","1221 HIGHLAND AVENUE","","","CLARKSTON","WA","99403","ASOTIN","5097585511","92","73","","86","59",""
"500129","TACOMA GENERAL ALLENMORE HOSPITAL","315 S MLK JR WAY","","","TACOMA","WA","98415","PIERCE","2534031000","99","258","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","155","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"140150","UNIVERSITY OF ILLINOIS HOSPITAL","1740 WEST TAYLOR ST SUITE 1400","","","CHICAGO","IL","60612","COOK","3129963900","98","126","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","58","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330277","CORNING HOSPITAL","176 DENISON PARKWAY EAST","","","CORNING","NY","14830","STEUBEN","6079377200","99","142","","99","93",""
"420039","WALLACE THOMSON HOSPITAL","322 W SOUTH ST PO BOX 789","","","UNION","SC","29379","UNION","8644270351","95","62","","71","59",""
"390039","SOMERSET HOSPITAL","225 SOUTH CENTER AVENUE","","","SOMERSET","PA","15501","SOMERSET","8144435000","92","135","","83","52",""
"490032","MEDICAL COLLEGE OF VIRGINIA HOSPITALS","1250 EAST MARSHALL STREET - BOX 980510","","","RICHMOND","VA","23298","RICHMOND CITY","8048280938","99","178","","91","91",""
"520070","MAYO CLINIC HEALTH SYSTEM EAU CLAIRE HOSPITAL","1221 WHIPPLE ST","","","EAU CLAIRE","WI","54703","EAU CLAIRE","7158383311","98","187","","95","122",""
"360044","WAYNE HOSPITAL","835 SWEITZER STREET","","","GREENVILLE","OH","45331","DARKE","9375475926","95","109","","93","70",""
"461301","FILLMORE COMMUNITY MEDICAL CENTER","674 SOUTH HIGHWAY 99","","","FILLMORE","UT","84631","MILLARD","4357435591","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"250061","YALOBUSHA GENERAL HOSPITAL","630 SOUTH MAIN STREET","","","WATER VALLEY","MS","38965","YALOBUSHA","6624731411","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","18","The number of cases is too small to reliably tell how well a hospital is performing"
"170009","SAINT JOHN HOSPITAL","3500 SOUTH 4TH STREET","","","LEAVENWORTH","KS","66048","LEAVENWORTH","9135965031","100","46","","100","40",""
"290019","CARSON TAHOE REGIONAL MEDICAL CENTER","1600 MEDICAL PARKWAY","","","CARSON CITY","NV","89703","CARSON CITY","7754458000","98","182","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","117","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"190003","DAUTERIVE HOSPITAL","600 NORTH LEWIS STREET","","","NEW IBERIA","LA","70563","IBERIA","3373657311","100","49","","100","32",""
"440031","ROANE MEDICAL CENTER","412 DEVONIA ST","","","HARRIMAN","TN","37748","ROANE","8658821323","99","145","","94","77",""
"050145","COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","23625 W R HOLMAN HIGHWAY","","","MONTEREY","CA","93940","MONTEREY","8316245311","94","244","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","157","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100244","CAPE CORAL HOSPITAL","636 DEL PRADO BLVD","","","CAPE CORAL","FL","33990","LEE","2395742323","93","166","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","107","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"281302","PAWNEE COUNTY MEMORIAL HOSPITAL","P O BOX 433, 600 I ST","","","PAWNEE CITY","NE","68420","PAWNEE","4028522231","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"120002","MAUI MEMORIAL MEDICAL CENTER","221 MAHALANI STREET","","","WAILUKU","HI","96793","MAUI","8084425101","99","153","","91","99",""
"450068","MEMORIAL HERMANN TEXAS MEDICAL CENTER","6411 FANNIN","","","HOUSTON","TX","77030","HARRIS","7137043700","100","122","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","51","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450135","TEXAS HEALTH HARRIS METHODIST FORT WORTH","1301 PENNSYLVANIA AVENUE","","","FORT WORTH","TX","76104","TARRANT","8172502100","97","615","","94","303",""
"260024","TEXAS COUNTY MEMORIAL HOSPITAL","1333 SAM HOUSTON BOULEVARD","","","HOUSTON","MO","65483","TEXAS","4179673311","95","122","","79","82",""
"440175","CROCKETT HOSPITAL","HWY 43 S BOX 847","","","LAWRENCEBURG","TN","38464","LAWRENCE","9317626571","94","87","","92","91",""
"280105","ALEGENT HEALTH MIDLANDS HOSPITAL","11111 SOUTH 84TH ST","","","PAPILLION","NE","68046","SARPY","4025933000","100","58","","94","35",""
"240018","MAYO CLINIC HEALTH SYSTEM IN RED WING","701 FAIRVIEW BOULEVARD, PO BOX 95","","","RED WING","MN","55066","GOODHUE","6512675000","100","43","","100","33",""
"260034","BATES COUNTY MEMORIAL HOSPITAL","615 W NURSERY ST","","","BUTLER","MO","64730","BATES","6602007000","97","66","","74","38",""
"440193","UNIVERSITY MEDICAL CENTER","1411 BADDOUR PARKWAY","","","LEBANON","TN","37087","WILSON","6154448262","97","194","","93","116",""
"281344","CHERRY COUNTY HOSPITAL","P O BOX 410, 510 NORTH GREEN ST","","","VALENTINE","NE","69201","CHERRY","4023762525","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","16","The number of cases is too small to reliably tell how well a hospital is performing"
"390225","EPHRATA COMMUNITY HOSPITAL","169 MARTIN AVENUE","","","EPHRATA","PA","17522","LANCASTER","7177330311","98","221","","98","162",""
"520196","OAK LEAF SURGCL HSPTL","3802 OAKWOOD MALL DR","","","EAU CLAIRE","WI","54701","EAU CLAIRE","7158318130","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"310012","VALLEY HOSPITAL","223 N VAN DIEN AVENUE","","","RIDGEWOOD","NJ","07450","BERGEN","2014478000","99","184","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","106","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"190255","PARK PLACE SURGICAL HOSPITAL","901 WILSON STREET","","","LAFAYETTE","LA","70503","LAFAYETTE","3372378119","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"330214","NYU HOSPITALS CENTER","550 FIRST AVENUE","","","NEW YORK","NY","10016","NEW YORK","2122637300","98","147","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","85","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"050204","PALMDALE REGIONAL MEDICAL CENTER","38600 MEDICAL CENTER DRIVE","","","PALMDALE","CA","93552","LOS ANGELES","6613825000","88","82","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","97","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"520057","ST CLARE HSPTL HLTH SVCS","707 14TH ST","","","BARABOO","WI","53913","SAUK","6083561400","100","90","","100","58",""
"370018","JANE PHILLIPS MEDICAL CENTER","3500 EAST FRANK PHILLIPS BOULEVARD","","","BARTLESVILLE","OK","74006","WASHINGTON","9183337200","100","161","","96","113",""
"151329","MARGARET MARY COMMUNITY HOSPITAL INC","321 MITCHELL AVE","","","BATESVILLE","IN","47006","RIPLEY","8129346624","96","99","","99","70",""
"330028","RICHMOND UNIVERSITY MEDICAL CENTER","355 BARD AVENUE","","","STATEN ISLAND","NY","10304","RICHMOND","7188181234","94","116","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","51","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"170197","KANSAS MEDICAL CENTER LLC","1124 WEST 21ST STREET","","","ANDOVER","KS","67002","BUTLER","3163004000","100","27","","90","20","The number of cases is too small to reliably tell how well a hospital is performing"
"050588","SAN DIMAS COMMUNITY HOSPITAL","1350 W COVINA BLVD","","","SAN DIMAS","CA","91773","LOS ANGELES","9095996811","99","114","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","33","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"451342","MITCHELL COUNTY HOSPITAL DISTRICT","997 WEST I-20","","","COLORADO CITY","TX","79512","MITCHELL","3257283431","69","13","The number of cases is too small to reliably tell how well a hospital is performing","79","29",""
"261328","NORTHWEST MEDICAL CENTER","705 N COLLEGE STREET","","","ALBANY","MO","64402","GENTRY","6607263941","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"450236","HOPKINS COUNTY MEMORIAL HOSPITAL","115 AIRPORT RD","","","SULPHUR SPRINGS","TX","75482","HOPKINS","9038857671","95","80","","96","79",""
"450780","METHODIST AMBULATORY SURGERY HOSPITAL NW","9150 HUEBNER RD SUITE 100","","","SAN ANTONIO","TX","78240","BEXAR","2106918000","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"450587","BROWNWOOD REGIONAL MEDICAL CENTER","1501 BURNET DR","","","BROWNWOOD","TX","76801","BROWN","3256468541","98","81","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","48","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"330030","NEWARK-WAYNE COMMUNITY HOSPITAL","111 DRIVING PARK AVENUE","","","NEWARK","NY","14513","WAYNE","3153322022","97","158","","97","97",""
"140010","EVANSTON HOSPITAL","2650 RIDGE AVE","","","EVANSTON","IL","60201","COOK","8474328000","99","225","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","110","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"260119","POPLAR BLUFF REGIONAL MEDICAL CENTER","2620 N WESTWOOD BLVD","","","POPLAR BLUFF","MO","63901","BUTLER","5736865313","99","297","","97","183",""
"310070","SAINT PETER'S UNIVERSITY HOSPITAL","254 EASTON AVE","","","NEW BRUNSWICK","NJ","08901","MIDDLESEX","7327458600","99","273","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","134","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"310003","PALISADES MEDICAL CTR-NY PRESBYTERIAN HEALTHCARE S","7600 RIVER RD","","","NORTH BERGEN","NJ","07047","HUDSON","2018545000","100","106","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","76","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100067","ST ANTHONY'S HOSPITAL","1200 7TH AVENUE NORTH","","","SAINT PETERSBURG","FL","33705","PINELLAS","7278251100","95","242","","96","108",""
"230156","ST JOSEPH MERCY HOSPITAL","5301 E HURON RIVER DR","","","ANN ARBOR","MI","48106","WASHTENAW","7347123791","95","224","","95","318",""
"170074","GEARY COMMUNITY HOSPITAL","1102 ST MARY'S ROAD","","","JUNCTION CITY","KS","66441","GEARY","9132103301","91","22","The number of cases is too small to reliably tell how well a hospital is performing","59","39",""
"450037","GOOD SHEPHERD MEDICAL CENTER","700 EAST MARSHALL AVENUE","","","LONGVIEW","TX","75601","GREGG","9033152000","98","511","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","232","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"110168","REDMOND REGIONAL MEDICAL CENTER","501 REDMOND ROAD","","","ROME","GA","30165","FLOYD","7068023012","98","225","","100","165",""
"060104","CENTURA HEALTH-ST ANTHONY NORTH HOSPITAL","2551 W 84TH AVENUE","","","WESTMINSTER","CO","80031","JEFFERSON","3034303201","98","182","","95","150",""
"271300","POPLAR COMMUNITY HOSPITAL","211 H ST E","","","POPLAR","MT","59255","ROOSEVELT","4067686100","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"181327","MARSHALL COUNTY HOSPITAL","615 OLD SYMSONIA ROAD","","","BENTON","KY","42025","MARSHALL","2705274800","92","38","","87","38",""
"49011F","SALEM VA MEDICAL CENTER","1970 BOULEVARD","","","SALEM                         ","VA","24153","SALEM","5409822463","99","77","","100","52",""
"370091","SAINT FRANCIS HOSPITAL, INC","6161 SOUTH YALE","","","TULSA","OK","74136","TULSA","9184942200","98","855","","92","472",""
"240206","RED LAKE HOSPITAL","PO BOX 497","","","REDLAKE","MN","56671","BELTRAMI","2186793912","83","12","The number of cases is too small to reliably tell how well a hospital is performing","91","11","The number of cases is too small to reliably tell how well a hospital is performing"
"330239","WOMAN'S CHRISTIAN ASSOCIATION","207 FOOTE AVENUE","","","JAMESTOWN","NY","14701","CHAUTAUQUA","7164870141","96","186","","92","118",""
"210022","SUBURBAN HOSPITAL","8600 OLD GEORGETOWN RD","","","BETHESDA","MD","20814","MONTGOMERY","3018962576","97","217","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","123","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"220088","NEW ENGLAND BAPTIST HOSPITAL","125 PARKER HILL AVENUE","","","BOSTON","MA","02120","SUFFOLK","6177545800","Not Available","0","","92","13","The number of cases is too small to reliably tell how well a hospital is performing"
"490101","INOVA FAIROAKS HOSPITAL","3600 JOSEPH SIEWICK DRIVE","","","FAIRFAX","VA","22033","FAIRFAX","7033913600","99","134","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","84","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"180053","FLEMING COUNTY HOSPITAL","55 FOUNDATION DRIVE","","","FLEMINGSBURG","KY","41041","FLEMING","6068492351","92","73","","76","88",""
"151316","ST VINCENT FRANKFORT HOSPITAL INC","1300 S JACKSON ST","","","FRANKFORT","IN","46041","CLINTON","7656563000","88","41","","94","35",""
